Title,Year,Rating,Votes,Genres,Runtime,Director,Top 3 Cast,Box Office
The Chaos Class Failed the Class,1975,8.7,,[],Runtime1 hour 35 minutes,Ertem Egilmez,"['Münir Özkul', 'Tarik Akan', 'Kemal Sunal']",
North by Northwest,1959,8.3,,[],Runtime2 hours 16 minutes,Alfred Hitchcock,"['Cary Grant', 'Eva Marie Saint', 'James Mason']",197920.0
Up,2009,8.3,,[],Runtime1 hour 36 minutes,Pete Docter,"['Edward Asner', 'Jordan Nagai', 'John Ratzenberger']",735103954.0
Citizen Kane,1941,8.3,,[],Runtime1 hour 59 minutes,Orson Welles,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']",1711106.0
M,1931,8.3,,[],Runtime1 hour 39 minutes,Fritz Lang,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']",35566.0
Full Metal Jacket,1987,8.2,,[],Runtime1 hour 56 minutes,Stanley Kubrick,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]",50193748.0
Vertigo,1958,8.2,,[],Runtime2 hours 8 minutes,Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']",7971440.0
Amélie,2002,8.3,,[],Runtime2 hours 2 minutes,Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']",175183052.0
Like Stars on Earth,2007,8.3,,[],Runtime2 hours 42 minutes,Aamir Khan,"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']",21897373.0
A Separation,2011,8.3,,[],Runtime2 hours 3 minutes,Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat']",22926076.0
To Kill a Mockingbird,1963,8.3,,[],Runtime2 hours 9 minutes,Robert Mulligan,"['Gregory Peck', 'John Megna', 'Frank Overton']",602810.0
Die Hard,1988,8.2,,[],Runtime2 hours 12 minutes,John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']",143651650.0
A Clockwork Orange,1972,8.2,,[],Runtime2 hours 16 minutes,Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']",27034174.0
Indiana Jones and the Last Crusade,1989,8.2,,[],Runtime2 hours 7 minutes,Steven Spielberg,"['Harrison Ford', 'Sean Connery', 'Alison Doody']",474171806.0
The Sting,1973,8.2,,[],Runtime2 hours 9 minutes,George Roy Hill,"['Paul Newman', 'Robert Redford', 'Robert Shaw']",156000000.0
Oppenheimer,2023,8.3,,[],Runtime3 hours,Christopher Nolan,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon']",975811333.0
Metropolis,1927,8.3,,[],Runtime2 hours 33 minutes,Fritz Lang,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich']",1351009.0
Snatch,2001,8.2,,[],Runtime1 hour 42 minutes,Guy Ritchie,"['Jason Statham', 'Brad Pitt', 'Stephen Graham']",83557872.0
1917,2020,8.2,,[],Runtime1 hour 59 minutes,Sam Mendes,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays']",446064352.0
L.A. Confidential,1997,8.2,,[],Runtime2 hours 18 minutes,Curtis Hanson,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']",126216940.0
Bicycle Thieves,1949,8.2,,[],Runtime1 hour 29 minutes,Vittorio De Sica,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']",451643.0
Downfall,2005,8.2,,[],Runtime2 hours 36 minutes,Oliver Hirschbiegel,"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes']",92181574.0
Dangal,2016,8.3,,[],Runtime2 hours 41 minutes,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']",303726694.0
The Wolf of Wall Street,2013,8.2,,[],Runtime3 hours,Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']",407039432.0
Hamilton,2020,8.3,,[],Runtime2 hours 40 minutes,Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']",
Taxi Driver,1976,8.2,,[],Runtime1 hour 54 minutes,Martin Scorsese,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']",28737520.0
Green Book,2018,8.2,,[],Runtime2 hours 10 minutes,Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']",321752656.0
Batman Begins,2005,8.2,,[],Runtime2 hours 20 minutes,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Ken Watanabe']",375406308.0
The Truman Show,1998,8.2,,[],Runtime1 hour 43 minutes,Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney']",264118712.0
For a Few Dollars More,1967,8.2,,[],Runtime2 hours 12 minutes,Sergio Leone,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']",15000000.0
Judgment at Nuremberg,1961,8.3,,[],Runtime2 hours 59 minutes,Stanley Kramer,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark']",12180.0
Some Like It Hot,1959,8.2,,[],Runtime2 hours 1 minute,Billy Wilder,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']",208786.0
Shutter Island,2010,8.2,,[],Runtime2 hours 18 minutes,Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']",294978537.0
The Kid,1921,8.2,,[],Runtime1 hour 8 minutes,Charles Chaplin,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan']",44115.0
The Father,2021,8.2,,[],Runtime1 hour 37 minutes,Florian Zeller,"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss']",24048935.0
Jurassic Park,1993,8.2,,[],Runtime2 hours 7 minutes,Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum']",1104379926.0
All About Eve,1950,8.2,,[],Runtime2 hours 18 minutes,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders']",154974.0
There Will Be Blood,2008,8.2,,[],Runtime2 hours 38 minutes,Paul Thomas Anderson,"['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds']",76430381.0
The Sixth Sense,1999,8.2,,[],Runtime1 hour 47 minutes,M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']",672806432.0
Casino,1995,8.2,,[],Runtime2 hours 58 minutes,Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",116112375.0
Ran,1985,8.2,,[],Runtime2 hours 40 minutes,Akira Kurosawa,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']",4357139.0
Top Gun: Maverick,2022,8.2,,[],Runtime2 hours 10 minutes,Joseph Kosinski,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",1495696292.0
No Country for Old Men,2007,8.2,,[],Runtime2 hours 2 minutes,Ethan Coen,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']",171632777.0
The Thing,1982,8.2,,[],Runtime1 hour 49 minutes,John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David']",20839547.0
Pan's Labyrinth,2007,8.2,,[],Runtime1 hour 58 minutes,Guillermo del Toro,"['Ivana Baquero', 'Ariadna Gil', 'Sergi López']",83863565.0
Unforgiven,1992,8.2,,[],Runtime2 hours 10 minutes,Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']",159167799.0
Kill Bill: Vol. 1,2003,8.2,,[],Runtime1 hour 51 minutes,Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah']",180908413.0
A Beautiful Mind,2002,8.2,,[],Runtime2 hours 15 minutes,Ron Howard,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']",316791257.0
Prisoners,2013,8.2,,[],Runtime2 hours 33 minutes,Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']",122127446.0
The Treasure of the Sierra Madre,1948,8.2,,[],Runtime2 hours 6 minutes,John Huston,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt']",5014000.0
Yojimbo,1961,8.2,,[],Runtime1 hour 50 minutes,Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai']",68196.0
Finding Nemo,2003,8.2,,[],Runtime1 hour 40 minutes,Andrew Stanton,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']",941637960.0
Howl's Moving Castle,2005,8.2,,[],Runtime1 hour 59 minutes,Hayao Miyazaki,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin']",241524775.0
The Great Escape,1963,8.2,,[],Runtime2 hours 52 minutes,John Sturges,"['Steve McQueen', 'James Garner', 'Richard Attenborough']",230637.0
Monty Python and the Holy Grail,1975,8.2,,[],Runtime1 hour 31 minutes,Terry Gilliam,"['Graham Chapman', 'John Cleese', 'Eric Idle']",2931902.0
The Elephant Man,1980,8.2,,[],Runtime2 hours 4 minutes,David Lynch,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']",26034325.0
Dial M for Murder,1954,8.2,,[],Runtime1 hour 45 minutes,Alfred Hitchcock,"['Ray Milland', 'Grace Kelly', 'Robert Cummings']",45313.0
Klaus,2019,8.2,,[],Runtime1 hour 36 minutes,Sergio Pablos,"['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones']",
Gone with the Wind,1940,8.2,,[],Runtime3 hours 58 minutes,Victor Fleming,"['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell']",402382193.0
Chinatown,1974,8.1,,[],Runtime2 hours 10 minutes,Roman Polanski,"['Jack Nicholson', 'Faye Dunaway', 'John Huston']",29232347.0
The Secret in Their Eyes,2010,8.2,,[],Runtime2 hours 9 minutes,Juan José Campanella,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago']",35079650.0
Rashomon,1951,8.2,,[],Runtime1 hour 28 minutes,Akira Kurosawa,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori']",139819.0
"Lock, Stock and Two Smoking Barrels",1998,8.1,,[],Runtime1 hour 47 minutes,Guy Ritchie,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran']",3753929.0
V for Vendetta,2006,8.1,,[],Runtime2 hours 12 minutes,James McTeigue,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves']",134686457.0
Inside Out,2015,8.1,,[],Runtime1 hour 35 minutes,Pete Docter,"['Amy Poehler', 'Bill Hader', 'Lewis Black']",859076254.0
"Three Billboards Outside Ebbing, Missouri",2017,8.1,,[],Runtime1 hour 55 minutes,Martin McDonagh,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell']",162729321.0
Catch Me If You Can,2002,8.1,,[],Runtime2 hours 21 minutes,Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",352114312.0
Trainspotting,1996,8.1,,[],Runtime1 hour 33 minutes,Danny Boyle,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']",16992984.0
The Bridge on the River Kwai,1957,8.1,,[],Runtime2 hours 41 minutes,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins']",27201366.0
Raging Bull,1980,8.1,,[],Runtime2 hours 9 minutes,Martin Scorsese,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']",23405883.0
The Wild Robot,2024,8.2,,[],Runtime1 hour 42 minutes,Chris Sanders,"[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor']",333165945.0
Fargo,1996,8.1,,[],Runtime1 hour 38 minutes,Joel Coen,"['William H. Macy', 'Frances McDormand', 'Steve Buscemi']",60611975.0
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,,[],Runtime2 hours 10 minutes,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']",1342505340.0
Warrior,2011,8.1,,[],Runtime2 hours 20 minutes,Gavin O'Connor,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton']",23308615.0
Gran Torino,2009,8.1,,[],Runtime1 hour 56 minutes,Clint Eastwood,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley']",269958228.0
